DIEAREA_mm^2,wire_length,power,Congestion,FP_CORE_UTIL,PL_TARGET_DENSITY,DIE_AREA,CORE_AREA
0.0025569929,765,2.35e-05,7.69,35.0,0.6,700.0,750.0
0.0025084073,786,2.37e-05,9.16,36.0,0.6,700.0,750.0
0.002461779425,761,2.35e-05,8.87,37.0,0.6,700.0,750.0
0.002417562,749,2.34e-05,7.58,38.0,0.6,700.0,750.0
0.002375701625,773,2.36e-05,8.99,39.0,0.6,700.0,750.0
0.002335661025,772,2.36e-05,9.06,40.0,0.6,700.0,750.0
0.0022974033,762,2.35e-05,8.68,41.0,0.6,700.0,750.0
0.0022608929,727,2.35e-05,8.03,42.0,0.6,700.0,750.0
0.0022256208,718,2.34e-05,8.2,43.0,0.6,700.0,750.0
0.002192036025,722,2.35e-05,8.11,44.0,0.6,700.0,750.0
0.0021596388,721,2.34e-05,8.18,45.0,0.6,700.0,750.0
0.0025569929,765,2.35e-05,7.69,35.0,0.6,800.0,750.0
0.0025084073,786,2.37e-05,9.16,36.0,0.6,800.0,750.0
0.002461779425,761,2.35e-05,8.87,37.0,0.6,800.0,750.0
0.002417562,749,2.34e-05,7.58,38.0,0.6,800.0,750.0
0.002375701625,773,2.36e-05,8.99,39.0,0.6,800.0,750.0
0.002335661025,772,2.36e-05,9.06,40.0,0.6,800.0,750.0
0.0022974033,762,2.35e-05,8.68,41.0,0.6,800.0,750.0
0.0022608929,727,2.35e-05,8.03,42.0,0.6,800.0,750.0
0.0022256208,718,2.34e-05,8.2,43.0,0.6,800.0,750.0
0.002192036025,722,2.35e-05,8.11,44.0,0.6,800.0,750.0
0.0021596388,721,2.34e-05,8.18,45.0,0.6,800.0,750.0
0.0025569929,765,2.35e-05,7.69,35.0,0.6,900.0,750.0
0.0025084073,786,2.37e-05,9.16,36.0,0.6,900.0,750.0
0.002461779425,761,2.35e-05,8.87,37.0,0.6,900.0,750.0
0.002417562,749,2.34e-05,7.58,38.0,0.6,900.0,750.0
0.002375701625,773,2.36e-05,8.99,39.0,0.6,900.0,750.0
0.002335661025,772,2.36e-05,9.06,40.0,0.6,900.0,750.0
0.0022974033,762,2.35e-05,8.68,41.0,0.6,900.0,750.0
0.0022608929,727,2.35e-05,8.03,42.0,0.6,900.0,750.0
0.0022256208,718,2.34e-05,8.2,43.0,0.6,900.0,750.0
0.002192036025,722,2.35e-05,8.11,44.0,0.6,900.0,750.0
0.0021596388,721,2.34e-05,8.18,45.0,0.6,900.0,750.0
0.0025569929,778,2.36e-05,8.82,35.0,0.65,700.0,750.0
0.0025084073,767,2.35e-05,8.79,36.0,0.65,700.0,750.0
0.002461779425,736,2.34e-05,9.28,37.0,0.65,700.0,750.0
0.002417562,763,2.36e-05,9.19,38.0,0.65,700.0,750.0
0.002375701625,758,2.35e-05,8.42,39.0,0.65,700.0,750.0
0.002335661025,758,2.35e-05,8.49,40.0,0.65,700.0,750.0
0.0022974033,755,2.36e-05,9.05,41.0,0.65,700.0,750.0
0.0022608929,758,2.35e-05,8.39,42.0,0.65,700.0,750.0
0.0022256208,695,2.33e-05,8.2,43.0,0.65,700.0,750.0
0.002192036025,703,2.33e-05,8.06,44.0,0.65,700.0,750.0
0.0021596388,694,2.33e-05,8.13,45.0,0.65,700.0,750.0
0.0025569929,778,2.36e-05,8.82,35.0,0.65,800.0,750.0
0.0025084073,767,2.35e-05,8.79,36.0,0.65,800.0,750.0
0.002461779425,736,2.34e-05,9.28,37.0,0.65,800.0,750.0
0.002417562,763,2.36e-05,9.19,38.0,0.65,800.0,750.0
0.002375701625,758,2.35e-05,8.42,39.0,0.65,800.0,750.0
0.002335661025,758,2.35e-05,8.49,40.0,0.65,800.0,750.0
0.0022974033,755,2.36e-05,9.05,41.0,0.65,800.0,750.0
0.0022608929,758,2.35e-05,8.39,42.0,0.65,800.0,750.0
0.0022256208,695,2.33e-05,8.2,43.0,0.65,800.0,750.0
0.002192036025,703,2.33e-05,8.06,44.0,0.65,800.0,750.0
0.0021596388,694,2.33e-05,8.13,45.0,0.65,800.0,750.0
0.0025569929,778,2.36e-05,8.82,35.0,0.65,900.0,750.0
0.0025084073,767,2.35e-05,8.79,36.0,0.65,900.0,750.0
0.002461779425,736,2.34e-05,9.28,37.0,0.65,900.0,750.0
0.002417562,763,2.36e-05,9.19,38.0,0.65,900.0,750.0
0.002375701625,758,2.35e-05,8.42,39.0,0.65,900.0,750.0
0.002335661025,758,2.35e-05,8.49,40.0,0.65,900.0,750.0
0.0022974033,755,2.36e-05,9.05,41.0,0.65,900.0,750.0
0.0022608929,758,2.35e-05,8.39,42.0,0.65,900.0,750.0
0.0022256208,695,2.33e-05,8.2,43.0,0.65,900.0,750.0
0.002192036025,703,2.33e-05,8.06,44.0,0.65,900.0,750.0
0.0021596388,694,2.33e-05,8.13,45.0,0.65,900.0,750.0
0.0025569929,802,2.38e-05,8.3,35.0,0.7,700.0,750.0
0.0025084073,808,2.39e-05,8.45,36.0,0.7,700.0,750.0
0.002461779425,795,2.38e-05,8.73,37.0,0.7,700.0,750.0
0.002417562,769,2.35e-05,8.99,38.0,0.7,700.0,750.0
0.002375701625,753,2.34e-05,8.3,39.0,0.7,700.0,750.0
0.002335661025,754,2.35e-05,8.37,40.0,0.7,700.0,750.0
0.0022974033,759,2.36e-05,8.65,41.0,0.7,700.0,750.0
